epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.4789,1.38812,3.83519,1.14404,0.00333,1,0.995,0.22051,0.2692,3.23616,0.75847,0,0,0
2,6.53767,0.66121,3.24605,0.93084,0.00333,1,0.995,0.32338,0.27392,3.2519,0.75812,1.9802e-05,1.9802e-05,1.9802e-05
3,10.0078,0.87347,3.58276,1.02116,0.00333,1,0.4975,0.18091,0.30912,3.29237,0.75886,3.9208e-05,3.9208e-05,3.9208e-05
4,13.4185,0.66109,3.4289,1.01174,0.00333,1,0.33167,0.18242,0.38323,3.26544,0.76187,5.8218e-05,5.8218e-05,5.8218e-05
5,16.7397,0.52595,3.65364,0.80497,0.00333,1,0.24875,0.11322,0.49585,3.25891,0.76835,7.6832e-05,7.6832e-05,7.6832e-05
6,20.1794,0.79583,3.17743,1.03999,0.00333,1,0.33167,0.15563,0.62312,3.29516,0.77913,9.505e-05,9.505e-05,9.505e-05
7,23.2628,0.53631,2.98533,0.94216,0.00333,1,0.33167,0.2985,0.76239,3.34878,0.79649,0.000112872,0.000112872,0.000112872
8,27.0266,0.61586,2.96172,0.8085,0.00333,1,0.995,0.8955,0.85388,3.40106,0.80583,0.000130298,0.000130298,0.000130298
9,30.73,0.59446,3.17535,0.83979,0.00333,1,0.995,0.8955,0.89254,3.45648,0.81339,0.000147328,0.000147328,0.000147328
10,34.837,0.69833,3.81836,0.82184,0.00333,1,0.995,0.8955,0.84727,3.50089,0.8092,0.000163962,0.000163962,0.000163962
11,38.4808,0.53859,2.60373,0.76987,0.00333,1,0.995,0.8955,0.797,3.50237,0.8025,0.0001802,0.0001802,0.0001802
12,42.2965,0.65277,2.90357,0.9266,0.00333,1,0.995,0.8955,0.72988,3.46115,0.79445,0.000196042,0.000196042,0.000196042
13,45.6593,0.63469,2.49022,0.73736,0.00333,1,0.995,0.8955,0.60172,3.32136,0.78125,0.000211488,0.000211488,0.000211488
14,49.454,0.68803,2.29661,1.03271,0.00333,1,0.995,0.8955,0.56826,3.28062,0.77711,0.000226538,0.000226538,0.000226538
15,52.5903,0.79842,2.32857,0.86521,0.00333,1,0.995,0.8955,0.60847,3.25825,0.78113,0.000241192,0.000241192,0.000241192
16,57.5496,0.61131,2.04922,0.928,0.00333,1,0.995,0.796,0.66957,3.23725,0.78412,0.00025545,0.00025545,0.00025545
17,62.7181,0.6156,1.95432,0.90391,0.00333,1,0.995,0.796,0.75477,3.2751,0.80089,0.000269312,0.000269312,0.000269312
18,67.1597,0.73602,2.43473,1.08311,0.00333,1,0.995,0.796,0.75477,3.2751,0.80089,0.000282778,0.000282778,0.000282778
19,71.3984,0.70996,1.97853,1.35169,0.00333,1,0.995,0.6965,0.82889,3.23077,0.81117,0.000295848,0.000295848,0.000295848
20,75.1479,0.76796,1.76627,0.94165,0.00333,1,0.995,0.6965,0.82889,3.23077,0.81117,0.000308522,0.000308522,0.000308522
21,79.0539,0.83432,1.94436,0.95333,0.00333,1,0.995,0.796,0.7957,3.16013,0.81548,0.0003208,0.0003208,0.0003208
22,82.8952,0.80236,2.06889,1.08315,0.00333,1,0.995,0.796,0.7957,3.16013,0.81548,0.000332682,0.000332682,0.000332682
23,86.4337,0.65428,1.5122,0.84525,0.00333,1,0.995,0.796,0.7523,3.18928,0.82974,0.000344168,0.000344168,0.000344168
24,90.5996,0.73292,1.63955,0.9945,0.00333,1,0.995,0.796,0.7523,3.18928,0.82974,0.000355258,0.000355258,0.000355258
25,94.4071,0.77329,1.85738,1.04186,0.00333,1,0.995,0.796,0.85344,3.07806,0.85097,0.000365952,0.000365952,0.000365952
26,98.073,0.73599,1.4139,0.91439,0.00333,1,0.995,0.796,0.85344,3.07806,0.85097,0.00037625,0.00037625,0.00037625
27,102.008,0.58782,1.40481,0.82451,0.00333,1,0.995,0.796,0.79626,3.10205,0.84666,0.000386152,0.000386152,0.000386152
28,106.264,0.77714,1.32714,1.04397,0.00333,1,0.995,0.796,0.79626,3.10205,0.84666,0.000395658,0.000395658,0.000395658
29,110.618,0.5889,1.71731,0.98048,0.00333,1,0.995,0.796,0.88932,3.13155,0.83481,0.000404768,0.000404768,0.000404768
30,116.026,0.81104,1.54775,0.93332,0.00333,1,0.995,0.796,0.88932,3.13155,0.83481,0.000413482,0.000413482,0.000413482
31,121.598,0.62518,1.44408,0.87653,0.00333,1,0.995,0.6965,1.01993,3.07533,0.83931,0.0004218,0.0004218,0.0004218
32,126.475,0.81623,1.48278,0.93768,0.00333,1,0.995,0.6965,1.01993,3.07533,0.83931,0.000429722,0.000429722,0.000429722
33,130.875,0.74997,1.40925,1.03539,0.00333,1,0.995,0.6965,0.88496,3.20035,0.85017,0.000437248,0.000437248,0.000437248
34,135.179,0.58436,1.26822,0.85179,0.00333,1,0.995,0.6965,0.88496,3.20035,0.85017,0.000444378,0.000444378,0.000444378
35,139.435,0.5536,1.37211,0.82936,0.00333,1,0.995,0.6965,1.01081,3.15741,0.84742,0.000451112,0.000451112,0.000451112
36,142.826,0.6514,1.33446,0.87883,0.00333,1,0.995,0.6965,1.01081,3.15741,0.84742,0.00045745,0.00045745,0.00045745
37,147.366,1.03262,1.87184,1.48984,0.00333,1,0.995,0.796,1.001,3.254,0.84513,0.000463392,0.000463392,0.000463392
38,150.637,0.42979,1.48795,0.86408,0.00333,1,0.995,0.796,1.001,3.254,0.84513,0.000468938,0.000468938,0.000468938
39,154.975,0.72013,1.37186,0.84334,0.00333,1,0.995,0.796,0.91746,3.2573,0.83148,0.000474088,0.000474088,0.000474088
40,158.703,0.77837,1.54156,0.92654,0.00333,1,0.995,0.796,0.91746,3.2573,0.83148,0.000478842,0.000478842,0.000478842
